Study,OR_SAMPLE,Project,Individual,Sample,SAMPLE,Sample_id,READ_PROTOCOL,Lab,Contact,Reference
HHC,BFI-0003100,6,51,1,P6_I51_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003101,6,52,1,P6_I52_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003102,6,53,1,P6_I53_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003103,6,54,1,P6_I54_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003104,6,55,1,P6_I55_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003105,6,56,1,P6_I56_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003106,6,57,1,P6_I57_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003107,6,58,1,P6_I58_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003108,6,59,1,P6_I59_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003109,6,60,1,P6_I60_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003110,6,61,1,P6_I61_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003111,6,62,1,P6_I62_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003112,6,63,1,P6_I63_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003113,6,64,1,P6_I64_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003114,6,65,1,P6_I65_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003115,6,66,1,P6_I66_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003116,6,67,1,P6_I67_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003117,6,68,1,P6_I68_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003118,6,69,1,P6_I69_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003119,6,70,1,P6_I70_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003120,6,71,1,P6_I71_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003121,6,72,1,P6_I72_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003122,6,73,1,P6_I73_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003123,6,74,1,P6_I74_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003124,6,75,1,P6_I75_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003125,6,76,1,P6_I76_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003126,6,77,1,P6_I77_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003127,6,78,1,P6_I78_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003128,6,79,1,P6_I79_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003129,6,80,1,P6_I80_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003130,6,81,1,P6_I81_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003131,6,82,1,P6_I82_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003132,6,83,1,P6_I83_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003133,6,84,1,P6_I84_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003134,6,85,1,P6_I85_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003135,6,86,1,P6_I86_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003136,6,87,1,P6_I87_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003137,6,88,1,P6_I88_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003138,6,89,1,P6_I89_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003139,6,90,1,P6_I90_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003140,6,91,1,P6_I91_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003141,6,92,1,P6_I92_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003142,6,93,1,P6_I93_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003143,6,94,1,P6_I94_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003144,6,95,1,P6_I95_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003145,6,96,1,P6_I96_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003146,6,97,1,P6_I97_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003147,6,98,1,P6_I98_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003148,6,99,1,P6_I99_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003149,6,100,1,P6_I100_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003150,6,101,1,P6_I101_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003151,6,102,1,P6_I102_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003152,6,103,1,P6_I103_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003153,6,104,1,P6_I104_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003154,6,105,1,P6_I105_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003155,6,106,1,P6_I106_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003156,6,107,1,P6_I107_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003157,6,108,1,P6_I108_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003158,6,109,1,P6_I109_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003159,6,110,1,P6_I110_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003160,6,111,1,P6_I111_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003161,6,112,1,P6_I112_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003162,6,113,1,P6_I113_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003163,6,114,1,P6_I114_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
